Variable Name,Acceptable Values,Definition
session_ID,_,A unique identfier for the charging session.
station_ID,39,A unique identfier for the charging station.
port_ID,"2-39-125-21, 2-39-126-20, 2-39-127-19, 2-39-128-18, 2-39-129-17, 2-39-130-31, 2-39-131-30, 2-39-138-29, 2-39-139-28, 2-39-78-362, 2-39-78-365, 2-39-78-367, 2-39-79-377, 2-39-79-378, 2-39-79-379, 2-39-79-380, 2-39-79-383, 2-39-81-4550, 2-39-83-387, 2-39-89-25, 2-39-90-440, 2-39-91-437",A unique identifier for the specific port of a charging station.
session_start,2021-04-01T16:26:40Z - 2021-04-30T23:08:55Z,The time a charging sessions starts in ISO 8601 datetime format.
session_end,2021-04-01T18:28:18Z - 2021-05-01T01:57:23Z,The time a charging sessions ends ISO 8601 datetime format.
kWh_delivered,0.705 - 9.977,The amount of energy transfered to the EV measured in kilowatt hours. 
,,
,,
,,
,,
,,
,,
,,
,,
