session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_79_379_2021-04-01 16:23:08.488054,39,2-39-79-379,2021-04-01T16:26:40Z,2021-04-02T01:05:12Z,13.095,TRUE
2_39_81_4550_2021-04-01 17:13:30.698797,39,2-39-81-4550,2021-04-01T17:13:46Z,2021-04-01T18:28:18Z,54.681,TRUE
2_39_125_21_2021-04-01 18:45:10.206280,39,2-39-125-21,2021-04-01T18:45:20Z,2021-04-01T19:45:53Z,1.195,TRUE
2_39_78_365_2021-04-01 20:23:04.632582,39,2-39-78-365,2021-04-01T20:23:29Z,2021-04-02T04:47:56Z,2.059,TRUE
2_39_91_437_2021-04-01 20:50:13.034576,39,2-39-91-437,2021-04-01T20:50:13Z,2021-04-01T22:07:04Z,1.059,TRUE
2_39_138_29_2021-04-01 20:53:54.940280,39,2-39-138-29,2021-04-01T20:54:03Z,2021-04-02T00:05:11Z,6.377,TRUE
2_39_81_4550_2021-04-01 22:48:36.232485,39,2-39-81-4550,2021-04-01T22:48:45Z,2021-04-01T23:23:22Z,11.269,TRUE
2_39_79_383_2021-04-02 03:34:40.068880,39,2-39-79-383,2021-04-02T03:34:46Z,2021-04-02T09:36:20Z,9.431,TRUE
2_39_81_4550_2021-04-02 12:37:48.132034,39,2-39-81-4550,2021-04-02T12:37:56Z,2021-04-02T13:32:37Z,31.365,TRUE
2_39_81_4550_2021-04-02 14:34:13.133227,39,2-39-81-4550,2021-04-02T14:34:22Z,2021-04-02T15:00:14Z,13.848,TRUE
2_39_81_4550_2021-04-02 16:27:43.596405,39,2-39-81-4550,2021-04-02T16:27:53Z,2021-04-02T16:53:20Z,4.121,TRUE
2_39_128_18_2021-04-02 17:23:50.161447,39,2-39-128-18,2021-04-02T17:23:59Z,2021-04-02T18:49:32Z,5.074,TRUE
2_39_81_4550_2021-04-02 18:02:10.993861,39,2-39-81-4550,2021-04-02T18:02:26Z,2021-04-02T18:34:23Z,21.3,TRUE
2_39_78_365_2021-04-02 18:32:39.726570,39,2-39-78-365,2021-04-02T18:33:06Z,2021-04-03T02:57:27Z,2.126,TRUE
2_39_81_4550_2021-04-02 18:35:01.536253,39,2-39-81-4550,2021-04-02T18:35:13Z,2021-04-02T19:47:05Z,34.784,TRUE
2_39_81_4550_2021-04-02 20:24:58.106480,39,2-39-81-4550,2021-04-02T20:25:06Z,2021-04-02T21:56:00Z,44.039,TRUE
2_39_138_29_2021-04-02 21:54:51.047535,39,2-39-138-29,2021-04-02T21:54:57Z,2021-04-03T00:00:36Z,6.137,TRUE
2_39_125_21_2021-04-02 22:21:39.916520,39,2-39-125-21,2021-04-02T22:21:57Z,2021-04-02T23:18:20Z,3.069,TRUE
2_39_81_4550_2021-04-03 00:20:35.864908,39,2-39-81-4550,2021-04-03T00:20:47Z,2021-04-03T01:01:07Z,24.388,TRUE
2_39_81_4550_2021-04-03 01:18:40.544019,39,2-39-81-4550,2021-04-03T01:18:53Z,2021-04-03T01:49:56Z,22.771,TRUE
2_39_81_4550_2021-04-03 03:47:02.408099,39,2-39-81-4550,2021-04-03T03:47:10Z,2021-04-03T04:09:56Z,14.699,TRUE
2_39_81_4550_2021-04-03 04:15:04.968967,39,2-39-81-4550,2021-04-03T04:15:11Z,2021-04-03T05:17:38Z,46.439,TRUE
2_39_81_4550_2021-04-03 15:26:14.248274,39,2-39-81-4550,2021-04-03T15:26:24Z,2021-04-03T16:58:37Z,9.914,TRUE
2_39_129_17_2021-04-03 17:03:50.219163,39,2-39-129-17,2021-04-03T17:03:54Z,2021-04-03T18:40:16Z,8.686,TRUE
2_39_81_4550_2021-04-03 17:39:40.297096,39,2-39-81-4550,2021-04-03T17:39:44Z,2021-04-03T19:27:35Z,54.482,TRUE
2_39_131_30_2021-04-03 18:20:00.224320,39,2-39-131-30,2021-04-03T18:20:13Z,2021-04-03T19:55:27Z,10.955,TRUE
2_39_81_4550_2021-04-03 21:31:08.437706,39,2-39-81-4550,2021-04-03T21:31:28Z,2021-04-03T21:57:38Z,19.122,TRUE
2_39_81_4550_2021-04-03 22:18:35.854171,39,2-39-81-4550,2021-04-03T22:18:48Z,2021-04-03T22:32:20Z,6.498,TRUE
2_39_78_365_2021-04-04 00:32:02.608182,39,2-39-78-365,2021-04-04T00:32:28Z,2021-04-04T05:55:16Z,2.356,TRUE
2_39_81_4550_2021-04-04 04:44:33.831548,39,2-39-81-4550,2021-04-04T04:44:42Z,2021-04-04T05:32:52Z,17.793,TRUE
2_39_81_4550_2021-04-04 15:26:13.625116,39,2-39-81-4550,2021-04-04T15:26:17Z,2021-04-04T16:08:50Z,19.056,TRUE
2_39_81_4550_2021-04-04 16:09:29.971715,39,2-39-81-4550,2021-04-04T16:09:37Z,2021-04-04T16:18:29Z,3.277,TRUE
2_39_129_17_2021-04-04 17:45:48.110491,39,2-39-129-17,2021-04-04T17:45:57Z,2021-04-04T19:06:51Z,5.464,TRUE
2_39_81_4550_2021-04-04 19:06:35.457085,39,2-39-81-4550,2021-04-04T19:07:08Z,2021-04-04T19:10:12Z,1.812,TRUE
2_39_131_30_2021-04-04 22:41:51.372863,39,2-39-131-30,2021-04-04T22:42:09Z,2021-04-05T03:27:43Z,8.181,TRUE
2_39_78_365_2021-04-04 23:24:11.825388,39,2-39-78-365,2021-04-04T23:24:30Z,2021-04-05T08:02:44Z,3.497004182,TRUE
2_39_139_28_2021-04-04 23:46:47.632434,39,2-39-139-28,2021-04-04T23:46:53Z,2021-04-05T00:50:28Z,1.295,TRUE
2_39_81_4550_2021-04-05 04:36:10.311124,39,2-39-81-4550,2021-04-05T04:36:15Z,2021-04-05T06:24:27Z,49.776,TRUE
2_39_79_379_2021-04-05 15:38:43.328175,39,2-39-79-379,2021-04-05T15:38:47Z,2021-04-05T18:46:23Z,4.792,TRUE
2_39_129_17_2021-04-05 17:55:27.576451,39,2-39-129-17,2021-04-05T17:55:36Z,2021-04-05T19:14:25Z,4.869,TRUE
2_39_81_4550_2021-04-05 20:43:06.286273,39,2-39-81-4550,2021-04-05T20:43:15Z,2021-04-05T21:13:53Z,17.486,TRUE
2_39_138_29_2021-04-05 21:03:31.433785,39,2-39-138-29,2021-04-05T21:03:36Z,2021-04-06T00:04:09Z,4.865,TRUE
2_39_81_4550_2021-04-05 21:51:40.234940,39,2-39-81-4550,2021-04-05T21:51:56Z,2021-04-05T22:49:02Z,4.677,TRUE
2_39_125_21_2021-04-05 22:55:26.826802,39,2-39-125-21,2021-04-05T22:55:34Z,2021-04-05T23:59:44Z,3.486,TRUE
2_39_81_4550_2021-04-05 22:58:14.400904,39,2-39-81-4550,2021-04-05T22:58:22Z,2021-04-05T23:30:49Z,13.202,TRUE
2_39_81_4550_2021-04-06 01:25:20.330660,39,2-39-81-4550,2021-04-06T01:25:36Z,2021-04-06T02:56:20Z,61.556,TRUE
2_39_91_437_2021-04-06 01:57:15.909139,39,2-39-91-437,2021-04-06T01:57:32Z,2021-04-06T18:26:27Z,34.069,TRUE
2_39_79_383_2021-04-06 03:57:27.159739,39,2-39-79-383,2021-04-06T03:57:27Z,2021-04-06T05:01:21Z,0.862,
2_39_79_383_2021-04-06 05:02:24.282438,39,2-39-79-383,2021-04-06T05:02:24Z,2021-04-06T07:02:53Z,13.054,TRUE
2_39_81_4550_2021-04-06 14:43:09.462395,39,2-39-81-4550,2021-04-06T14:43:12Z,2021-04-06T15:02:36Z,6.958,TRUE
2_39_138_29_2021-04-06 15:23:02.755391,39,2-39-138-29,2021-04-06T15:23:08Z,2021-04-06T20:18:52Z,6.291,TRUE
2_39_129_17_2021-04-06 15:47:06.311484,39,2-39-129-17,2021-04-06T15:47:12Z,2021-04-06T16:47:33Z,3.524,TRUE
2_39_129_17_2021-04-06 16:47:37.572008,39,2-39-129-17,2021-04-06T16:47:38Z,2021-04-06T17:21:15Z,0.769,
2_39_79_379_2021-04-06 17:06:39.206373,39,2-39-79-379,2021-04-06T17:06:46Z,2021-04-07T01:25:40Z,5.479,TRUE
2_39_128_18_2021-04-06 17:21:25.103737,39,2-39-128-18,2021-04-06T17:21:25Z,2021-04-06T17:53:01Z,0.778,
2_39_81_4550_2021-04-06 17:46:27.693304,39,2-39-81-4550,2021-04-06T17:46:48Z,2021-04-06T20:16:58Z,1.504,TRUE
2_39_78_365_2021-04-06 20:37:43.678174,39,2-39-78-365,2021-04-06T20:37:52Z,2021-04-07T01:22:33Z,2.366,TRUE
2_39_125_21_2021-04-06 22:34:51.017912,39,2-39-125-21,2021-04-06T22:35:01Z,2021-04-06T23:31:10Z,1.89,TRUE
2_39_81_4550_2021-04-06 23:42:17.072668,39,2-39-81-4550,2021-04-06T23:42:43Z,2021-04-07T00:19:25Z,19.392,TRUE
2_39_139_28_2021-04-07 00:26:16.421146,39,2-39-139-28,2021-04-07T00:26:16Z,2021-04-07T01:40:14Z,0.852,
2_39_81_4550_2021-04-07 01:16:25.965272,39,2-39-81-4550,2021-04-07T01:16:32Z,2021-04-07T01:57:38Z,19.791,TRUE
2_39_131_30_2021-04-07 01:28:57.884101,39,2-39-131-30,2021-04-07T01:29:10Z,2021-04-07T03:00:36Z,10.161,TRUE
2_39_81_4550_2021-04-07 02:13:32.503733,39,2-39-81-4550,2021-04-07T02:13:38Z,2021-04-07T02:39:21Z,12.018,TRUE
2_39_81_4550_2021-04-07 02:39:34.750190,39,2-39-81-4550,2021-04-07T02:39:42Z,2021-04-07T03:02:20Z,2.067,TRUE
2_39_139_28_2021-04-07 15:20:24.928807,39,2-39-139-28,2021-04-07T15:20:25Z,2021-04-08T00:29:21Z,0.919,
2_39_129_17_2021-04-07 16:45:00.416310,39,2-39-129-17,2021-04-07T16:45:04Z,2021-04-07T17:30:19Z,3.517,TRUE
2_39_131_30_2021-04-07 17:13:57.545704,39,2-39-131-30,2021-04-07T17:14:05Z,2021-04-08T03:30:53Z,6.074,TRUE
2_39_79_379_2021-04-07 17:36:08.303514,39,2-39-79-379,2021-04-07T17:36:15Z,2021-04-08T00:53:51Z,6.281,TRUE
2_39_81_4550_2021-04-07 19:12:00.890189,39,2-39-81-4550,2021-04-07T19:12:17Z,2021-04-07T19:19:37Z,3.614,TRUE
2_39_83_387_2021-04-07 20:06:53.694529,39,2-39-83-387,2021-04-07T20:06:54Z,2021-04-07T22:28:42Z,0.858,
2_39_81_4550_2021-04-07 20:41:57.978190,39,2-39-81-4550,2021-04-07T20:43:08Z,2021-04-07T21:09:47Z,9.291,TRUE
2_39_138_29_2021-04-07 21:13:34.663237,39,2-39-138-29,2021-04-07T21:13:40Z,2021-04-08T00:07:42Z,6.478,TRUE
2_39_81_4550_2021-04-07 21:50:56.391912,39,2-39-81-4550,2021-04-07T21:51:23Z,2021-04-07T22:20:51Z,21.505,TRUE
2_39_79_377_2021-04-07 22:36:51.091579,39,2-39-79-377,2021-04-07T22:37:00Z,2021-04-08T01:39:03Z,6.584,TRUE
2_39_81_4550_2021-04-07 22:49:07.046775,39,2-39-81-4550,2021-04-07T22:49:16Z,2021-04-07T23:13:55Z,7.93,TRUE
2_39_125_21_2021-04-07 23:00:50.286005,39,2-39-125-21,2021-04-07T23:00:58Z,2021-04-07T23:57:15Z,1.871,TRUE
2_39_90_440_2021-04-07 23:35:54.941445,39,2-39-90-440,2021-04-07T23:35:55Z,2021-04-08T00:15:51Z,0.863,
2_39_81_4550_2021-04-08 00:18:14.444328,39,2-39-81-4550,2021-04-08T00:18:18Z,2021-04-08T00:45:29Z,4.247,TRUE
2_39_81_4550_2021-04-08 00:46:44.678900,39,2-39-81-4550,2021-04-08T00:46:53Z,2021-04-08T01:36:55Z,26.624,TRUE
2_39_81_4550_2021-04-08 02:02:06.822287,39,2-39-81-4550,2021-04-08T02:02:13Z,2021-04-08T03:23:56Z,59.388,TRUE
2_39_81_4550_2021-04-08 04:31:52.727180,39,2-39-81-4550,2021-04-08T04:32:07Z,2021-04-08T05:13:37Z,7.257,TRUE
2_39_79_380_2021-04-08 15:31:29.064647,39,2-39-79-380,2021-04-08T15:31:44Z,2021-04-08T18:36:56Z,4.075,TRUE
2_39_79_379_2021-04-08 16:05:27.718629,39,2-39-79-379,2021-04-08T16:05:55Z,2021-04-08T20:46:54Z,5.9,TRUE
2_39_125_21_2021-04-08 18:49:19.098277,39,2-39-125-21,2021-04-08T18:49:29Z,2021-04-08T19:41:50Z,2.387,TRUE
2_39_138_29_2021-04-08 21:03:05.787565,39,2-39-138-29,2021-04-08T21:03:13Z,2021-04-09T00:04:53Z,6.139,TRUE
2_39_81_4550_2021-04-08 21:43:13.584690,39,2-39-81-4550,2021-04-08T21:43:23Z,2021-04-08T22:14:23Z,12.125,TRUE
2_39_139_28_2021-04-09 00:24:01.318267,39,2-39-139-28,2021-04-09T00:24:01Z,2021-04-09T01:39:06Z,0.946,
2_39_81_4550_2021-04-09 01:14:30.015972,39,2-39-81-4550,2021-04-09T01:14:56Z,2021-04-09T02:11:41Z,37.565,TRUE
2_39_78_367_2021-04-09 03:55:57.041948,39,2-39-78-367,2021-04-09T03:55:57Z,2021-04-09T07:23:49Z,22.622,TRUE
2_39_81_4550_2021-04-09 14:24:50.311553,39,2-39-81-4550,2021-04-09T14:25:01Z,2021-04-09T14:53:31Z,20.018,TRUE
2_39_79_380_2021-04-09 15:28:46.144172,39,2-39-79-380,2021-04-09T15:29:01Z,2021-04-09T18:25:02Z,3.679,TRUE
2_39_79_377_2021-04-09 15:52:30.165607,39,2-39-79-377,2021-04-09T15:52:42Z,2021-04-09T22:18:42Z,38.059,TRUE
2_39_81_4550_2021-04-09 17:10:32.701971,39,2-39-81-4550,2021-04-09T17:10:58Z,2021-04-09T18:38:06Z,26.806,TRUE
2_39_79_379_2021-04-09 17:33:58.479240,39,2-39-79-379,2021-04-09T17:34:07Z,2021-04-10T01:11:42Z,9.883,TRUE
2_39_78_365_2021-04-09 18:13:20.717585,39,2-39-78-365,2021-04-09T18:13:44Z,2021-04-10T01:53:02Z,2.287,TRUE
2_39_81_4550_2021-04-09 18:59:00.267025,39,2-39-81-4550,2021-04-09T18:59:12Z,2021-04-09T20:20:36Z,32.546,TRUE
2_39_139_28_2021-04-09 21:00:39.879239,39,2-39-139-28,2021-04-09T21:00:48Z,2021-04-10T10:23:27Z,15.633,TRUE
2_39_81_4550_2021-04-09 21:46:17.173778,39,2-39-81-4550,2021-04-09T21:46:28Z,2021-04-09T21:57:43Z,8.458,TRUE
2_39_81_4550_2021-04-09 23:44:14.506221,39,2-39-81-4550,2021-04-09T23:44:26Z,2021-04-10T00:01:50Z,4.147,TRUE
2_39_81_4550_2021-04-10 03:14:54.555991,39,2-39-81-4550,2021-04-10T03:15:02Z,2021-04-10T04:15:55Z,9.753,TRUE
