session_ID,station_ID,port_ID,session_start,session_end,kWh_delivered,payment_required
2_39_95_27_2021-05-01 00:11:49.687283,39,2-39-95-27,2021-05-01T00:12:07Z,2021-05-01T05:04:23Z,33.313,TRUE
2_39_81_4550_2021-05-01 01:51:11.342721,39,2-39-81-4550,2021-05-01T01:51:32Z,2021-05-01T02:49:45Z,20.612,TRUE
2_39_81_4550_2021-05-01 02:51:43.003811,39,2-39-81-4550,2021-05-01T02:52:04Z,2021-05-01T03:38:52Z,4.84,TRUE
2_39_81_4550_2021-05-01 15:29:44.728788,39,2-39-81-4550,2021-05-01T15:30:17Z,2021-05-01T16:16:49Z,15.688,TRUE
2_39_81_4550_2021-05-01 18:03:59.010528,39,2-39-81-4550,2021-05-01T18:04:23Z,2021-05-01T18:38:21Z,22.834,TRUE
2_39_79_379_2021-05-01 19:00:23.802121,39,2-39-79-379,2021-05-01T19:01:17Z,2021-05-01T19:16:04Z,0.905,TRUE
2_39_79_379_2021-05-01 19:55:07.718798,39,2-39-79-379,2021-05-01T19:55:08Z,2021-05-02T01:33:15Z,0.732,
2_39_90_26_2021-05-01 20:01:50.548708,39,2-39-90-26,2021-05-01T20:02:06Z,2021-05-01T21:40:51Z,1.188,TRUE
2_39_81_4550_2021-05-01 20:42:39.133163,39,2-39-81-4550,2021-05-01T20:42:47Z,2021-05-01T21:32:12Z,30.936,TRUE
2_39_125_21_2021-05-01 21:56:05.026096,39,2-39-125-21,2021-05-01T21:56:16Z,2021-05-01T22:40:48Z,2.476,TRUE
2_39_81_4550_2021-05-02 01:49:53.883614,39,2-39-81-4550,2021-05-02T01:50:10Z,2021-05-02T04:12:59Z,53.82,TRUE
2_39_81_4550_2021-05-02 15:38:34.361379,39,2-39-81-4550,2021-05-02T15:38:57Z,2021-05-02T16:09:37Z,22.758,TRUE
2_39_81_4550_2021-05-02 17:49:49.847207,39,2-39-81-4550,2021-05-02T17:50:06Z,2021-05-02T22:42:58Z,42.892,TRUE
2_39_131_30_2021-05-02 20:08:26.214456,39,2-39-131-30,2021-05-02T20:08:26Z,2021-05-02T21:22:56Z,0.933,
2_39_131_30_2021-05-02 23:16:25.231570,39,2-39-131-30,2021-05-02T23:16:40Z,2021-05-03T01:09:07Z,10.219,TRUE
2_39_81_4550_2021-05-03 01:08:37.302887,39,2-39-81-4550,2021-05-03T01:08:44Z,2021-05-03T02:02:16Z,13.84,TRUE
2_39_81_4550_2021-05-03 15:28:37.691869,39,2-39-81-4550,2021-05-03T15:28:51Z,2021-05-03T15:53:54Z,6.332,TRUE
2_39_127_19_2021-05-03 16:07:48.186593,39,2-39-127-19,2021-05-03T16:07:48Z,2021-05-03T20:05:11Z,0.916,
2_39_131_30_2021-05-03 16:57:57.433116,39,2-39-131-30,2021-05-03T16:57:57Z,2021-05-04T00:06:20Z,0.94,
2_39_139_28_2021-05-03 17:54:53.859253,39,2-39-139-28,2021-05-03T17:55:06Z,2021-05-04T03:41:28Z,5.445,TRUE
2_39_138_29_2021-05-03 21:13:02.279875,39,2-39-138-29,2021-05-03T21:13:07Z,2021-05-04T00:03:15Z,6.429,TRUE
2_39_81_4550_2021-05-03 21:17:18.501648,39,2-39-81-4550,2021-05-03T21:17:28Z,2021-05-03T21:45:47Z,13.642,TRUE
2_39_125_21_2021-05-03 23:29:47.481303,39,2-39-125-21,2021-05-03T23:29:56Z,2021-05-04T00:48:29Z,0.861,TRUE
2_39_131_30_2021-05-04 01:18:17.760976,39,2-39-131-30,2021-05-04T01:18:22Z,2021-05-04T02:10:00Z,5.586,TRUE
2_39_81_4550_2021-05-04 01:55:20.926678,39,2-39-81-4550,2021-05-04T01:55:39Z,2021-05-04T02:40:33Z,22.352,TRUE
2_39_129_17_2021-05-04 15:00:42.972984,39,2-39-129-17,2021-05-04T15:00:53Z,2021-05-04T19:11:00Z,7.007,TRUE
2_39_139_28_2021-05-04 16:19:58.883387,39,2-39-139-28,2021-05-04T16:19:59Z,2021-05-05T00:12:24Z,5.948,TRUE
2_39_79_379_2021-05-04 17:42:36.063370,39,2-39-79-379,2021-05-04T17:42:37Z,2021-05-05T01:21:07Z,5.7,TRUE
2_39_79_377_2021-05-04 17:49:32.161585,39,2-39-79-377,2021-05-04T17:49:42Z,2021-05-04T21:44:41Z,26.212,TRUE
2_39_125_21_2021-05-04 17:56:01.285185,39,2-39-125-21,2021-05-04T17:56:09Z,2021-05-04T18:45:56Z,1.613,TRUE
2_39_91_437_2021-05-04 19:20:29.694048,39,2-39-91-437,2021-05-04T19:20:39Z,2021-05-04T21:36:48Z,7.771,TRUE
2_39_78_366_2021-05-04 20:35:19.020599,39,2-39-78-366,2021-05-04T20:35:23Z,2021-05-04T21:52:57Z,4.458,TRUE
2_39_131_30_2021-05-04 21:16:40.694850,39,2-39-131-30,2021-05-04T21:16:41Z,2021-05-04T21:40:24Z,0.608,
2_39_138_29_2021-05-04 21:18:47.729661,39,2-39-138-29,2021-05-04T21:18:55Z,2021-05-05T00:09:05Z,5.996,TRUE
